Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,45000,202.58,169.67,161.32
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,50000,222.08,187.01,177.80
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,55000,241.59,204.36,194.26
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,60000,261.10,221.70,210.74
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,65000,280.61,239.04,227.21
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,70000,300.12,256.38,243.69
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,75000,319.62,273.72,260.16
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,80000,339.14,291.06,276.64
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,85000,358.65,308.40,293.12
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,90000,378.16,325.76,309.59
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,95000,397.66,343.10,326.07
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,100000,417.17,360.44,342.53
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,1500,38.19,23.11,22.08
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,2000,39.04,23.86,22.80
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,3000,44.95,29.13,27.79
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,4000,46.64,30.63,29.21
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,7500,61.54,43.86,41.80
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,12500,81.86,61.94,58.96
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,25,23.69,10.23,9.84
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,50,24.08,10.56,10.16
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,75,24.46,10.91,10.49
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,150,25.63,11.95,11.48
Postkarten,74 x 52 mm (A8),255g Postkartenkarton,4/4-farbig Euroskala,200,26.41,12.64,12.14
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,100,25.39,11.74,11.28
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,250,36.28,21.41,20.46
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,500,37.36,22.38,21.38
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,1000,39.53,24.30,23.21
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,2500,46.03,30.08,28.70
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,5000,56.86,39.71,37.85
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,10000,81.30,61.43,58.49
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,15000,105.74,83.15,79.13
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,20000,130.18,104.88,99.76
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,25000,154.61,126.60,120.39
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,30000,179.05,148.33,141.03
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,35000,203.49,170.05,161.66
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,40000,218.91,184.19,175.11
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,45000,242.37,205.05,194.92
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,50000,265.83,225.90,214.73
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,55000,289.29,246.76,234.54
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,60000,312.75,267.62,254.36
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,65000,336.21,288.46,274.17
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,70000,359.67,309.32,293.98
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,75000,383.13,330.17,313.79
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,80000,406.59,351.03,333.60
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,85000,430.05,371.88,353.42
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,90000,453.51,392.74,373.23
Postkarten,74 x 52 mm (A8),290g Postkartenkarton,4/0-farbig Euroskala,95000,476.98,413.58,393.03
